date,n_dev,n_succ,n_rounds,prop_data_eav,n_class_eav,class_dist_eav,greedy,eaves_acc,smart_eaves_accuracy,learner_acc
2023-07-19_15:12:40,20,30,100,0.1,5,0.9,True,0.9090909090909091, 0,
2023-07-19_15:14:06,20,30,100,0.1,5,0.9,False,0.8818181818181818, 0.8272727272727273,
2023-07-19_15:15:42,20,30,100,0.1,5,0.9,True,0.8886363636363637, 0,
2023-07-19_15:17:24,20,30,100,0.1,5,0.9,False,0.9045454545454545, 0.8727272727272727,
2023-07-19_15:19:03,20,30,100,0.1,5,0.9,True,0.9363636363636364, 0.9,
2023-07-19_15:21:00,20,30,100,0.1,5,0.9,False,0.9386363636363636, 0.8954545454545455,
2023-07-19_15:22:43,20,30,100,0.1,5,0.9,True,0.9386363636363636, 0.8863636363636364,
2023-07-19_15:24:37,20,30,100,0.1,5,0.9,False,0.9181818181818182, 0.08636363636363636,
2023-07-19_15:26:20,20,30,100,0.1,5,0.9,True,0.9181818181818182, 0.9318181818181818,
2023-07-19_15:27:51,20,30,100,0.1,5,0.9,False,0.8295454545454546, 0.8704545454545455,
2023-07-19_15:29:31,20,30,100,0.1,5,0.9,True,0.925, 0,
2023-07-19_15:31:25,20,30,100,0.1,5,0.9,False,0.9545454545454546, 0.8954545454545455,
2023-07-19_15:33:06,20,30,100,0.1,5,0.9,True,0.9, 0,
2023-07-19_15:34:43,20,30,100,0.1,5,0.9,False,0.9, 0.8363636363636363,
2023-07-19_15:36:18,20,30,100,0.1,5,0.9,True,0.9227272727272727, 0,
2023-07-19_15:38:07,20,30,100,0.1,5,0.3,False,0.9113636363636364, 0.9159090909090909,
2023-07-19_15:39:47,20,30,100,0.1,5,0.3,True,0.925, 0,
2023-07-19_15:41:45,20,30,100,0.1,5,0.3,False,0.9318181818181818, 0.9159090909090909,
2023-07-19_15:43:27,20,30,100,0.1,5,0.3,True,0.9409090909090909, 0.9522727272727273,
2023-07-19_15:45:17,20,30,100,0.1,5,0.3,False,0.9181818181818182, 0.6295454545454545,
2023-07-19_15:46:56,20,30,100,0.1,5,0.3,True,0.9090909090909091, 0,
2023-07-19_15:48:25,20,30,100,0.1,5,0.3,False,0.8818181818181818, 0.8772727272727273,
2023-07-19_15:50:05,20,30,100,0.1,5,0.3,True,0.8886363636363637, 0,
2023-07-19_15:51:52,20,30,100,0.1,5,0.3,False,0.9045454545454545, 0.8863636363636364,
2023-07-19_15:53:34,20,30,100,0.1,5,0.3,True,0.9363636363636364, 0.9113636363636364,
2023-07-19_15:55:34,20,30,100,0.1,5,0.3,False,0.9386363636363636, 0.9386363636363636,
2023-07-19_15:57:18,20,30,100,0.1,5,0.3,True,0.9386363636363636, 0.9181818181818182,
2023-07-19_15:59:13,20,30,100,0.1,5,0.3,False,0.9181818181818182, 0.18181818181818182,
2023-07-19_16:00:56,20,30,100,0.1,5,0.3,True,0.9181818181818182, 0.925,
2023-07-19_16:02:26,20,30,100,0.1,5,0.3,False,0.8295454545454546, 0.9136363636363637,
2023-07-19_16:04:05,20,30,100,0.1,5,0.3,True,0.925, 0,
2023-07-19_16:06:00,20,30,100,0.1,5,0.3,False,0.9545454545454546, 0.9090909090909091,
2023-07-19_16:07:41,20,30,100,0.1,5,0.3,True,0.9, 0,
2023-07-19_16:09:22,20,30,100,0.1,5,0.3,False,0.9, 0.8886363636363637,
2023-07-19_16:10:57,20,30,100,0.1,5,0.3,True,0.9227272727272727, 0,
2023-07-19_16:12:51,20,30,100,0.1,8,0.99,False,0.9045454545454545, 0.8590909090909091,
2023-07-19_16:14:32,20,30,100,0.1,8,0.99,True,0.9227272727272727, 0,
2023-07-19_16:16:21,20,30,100,0.1,8,0.99,False,0.9363636363636364, 0.9,
2023-07-19_16:18:05,20,30,100,0.1,8,0.99,True,0.9159090909090909, 0.9022727272727272,
2023-07-19_16:19:49,20,30,100,0.1,8,0.99,False,0.884090909090909, 0.8,
2023-07-19_16:21:35,20,30,100,0.1,8,0.99,True,0.925, 0.8613636363636363,
2023-07-19_16:23:27,20,30,100,0.1,8,0.99,False,0.9181818181818182, 0.884090909090909,
2023-07-19_16:25:05,20,30,100,0.1,8,0.99,True,0.925, 0,
2023-07-19_16:26:54,20,30,100,0.1,8,0.99,False,0.9136363636363637, 0.3568181818181818,
2023-07-19_16:28:33,20,30,100,0.1,8,0.99,True,0.9068181818181819, 0,
2023-07-19_16:30:27,20,30,100,0.1,8,0.99,False,0.9431818181818182, 0.9363636363636364,
2023-07-19_16:32:05,20,30,100,0.1,8,0.99,True,0.9272727272727272, 0.9477272727272728,
2023-07-19_16:34:02,20,30,100,0.1,8,0.99,False,0.9204545454545454, 0.8863636363636364,
